Date,Type,Transect,Total number of schools,Threshold,Total
May-2-2011,Day,2,2,-70 dB,
May-2-2011,Day,3,3,-70 dB,
May-2-2011,Day,4,3,-70 dB,8
May-4-2011,Day,2,3,-70 dB,
May-4-2011,Day,3,1,-70 dB,
May-4-2011,Day,4,0,-70 dB,4
May-4-2011,Repeat,2,2,-70 dB,
May-4-2011,Repeat,3,1,-70 dB,
May-4-2011,Repeat,4,1,-70 dB,4
May-4-2011,Night,2,0,-70 dB,
May-4-2011,Night,3,2,-70 dB,
May-4-2011,Night,4,0,-70 dB,2
May-6-2011,Day,2,2,-70 dB,
May-6-2011,Day,3,2,-70 dB,
May-6-2011,Day,4,1,-70 dB,5
May-6-2011,Repeat,2,4,-70 dB,
May-6-2011,Repeat,3,1,-70 dB,
May-6-2011,Repeat,4,3,-70 dB,8
May-7-2011,Day,2,0,-70 dB,
May-7-2011,Day,3,0,-70 dB,
May-7-2011,Day,4,1,-70 dB,1
May-7-2011,Repeat,2,2,-70 dB,
May-7-2011,Repeat,3,6,-70 dB,
May-7-2011,Repeat,4,2,-70 dB,10
May-7-2011,Night,2,0,-70 dB,
May-7-2011,Night,3,0,-70 dB,
May-7-2011,Night,4,0,-70 dB,0
May-8-2011,Day,2,0,-70 dB,
May-8-2011,Day,3,2,-70 dB,
May-8-2011,Day,4,0,-70 dB,2
May-9-2011,Day,2,1,-70 dB,
May-9-2011,Day,3,0,-70 dB,
May-9-2011,Day,4,0,-70 dB,1
May-10-2011,Day,2,0,-70 dB,
May-10-2011,Day,3,1,-70 dB,
May-10-2011,Day,4,0,-70 dB,1
May-13-2011,Day,2,2,-70 dB,
May-13-2011,Day,3,1,-70 dB,
May-13-2011,Day,4,1,-70 dB,4
June-03-2011,Day,2,2,-70 dB,
June-03-2011,Day,3,3,-70 dB,
June-03-2011,Day,4,4,-70 dB,9
June-04-2011,Day,2,1,-70 dB,
June-04-2011,Day,3,4,-70 dB,
June-04-2011,Day,4,3,-70 dB,8
June-04-2011,Night,2,5,-70 dB,
June-04-2011,Night,3,5,-70 dB,
June-04-2011,Night,4,3,-70 dB,13
June-06-2011,Day,2,10,-70 dB,
June-06-2011,Day,3,17,-70 dB,
June-06-2011,Day,4,6,-70 dB,33
June-07-2011,Day,2,1,-70 dB,
June-07-2011,Day,3,2,-70 dB,
June-07-2011,Day,4,1,-70 dB,4
June-08-2011,Day,2,1,-70 dB,
June-08-2011,Day,3,0,-70 dB,
June-08-2011,Day,4,1,-70 dB,2
June-09-2011,Day,2,9,-70 dB,
June-09-2011,Day,3,7,-70 dB,
June-09-2011,Day,4,10,-70 dB,26
June-09-2011,Repeat,2,1,-70 dB,
June-09-2011,Repeat,3,0,-70 dB,
June-09-2011,Repeat,4,0,-70 dB,1
June-09-2011,Night,2,4,-70 dB,
June-09-2011,Night,3,5,-70 dB,
June-09-2011,Night,4,3,-70 dB,12
June-11-2011,Day,2,3,-70 dB,
June-11-2011,Day,3,3,-70 dB,
June-11-2011,Day,4,3,-70 dB,9
June-11-2011,Repeat,2,0,-70 dB,
June-11-2011,Repeat,3,0,-70 dB,
June-11-2011,Repeat,4,1,-70 dB,1
June-11-2011,Night,2,4,-70 dB,
June-11-2011,Night,3,8,-70 dB,
June-11-2011,Night,4,10,-70 dB,22
June-13-2011,Day,2,2,-70 dB,
June-13-2011,Day,3,1,-70 dB,
June-13-2011,Day,4,7,-70 dB,10
June-13-2011,Repeat,2,4,-70 dB,
June-13-2011,Repeat,3,3,-70 dB,
June-13-2011,Repeat,4,5,-70 dB,12
